port_code,port_name,state,year,month,mode,count
2402.0,El Paso,Texas,2023,6,Truck,11199.0
2408.0,Santa Teresa,New Mexico,2023,3,Personal Vehicle,106342.0
2608.0,San Luis,Arizona,2023,3,Truck,5948.0
2602.0,Lukeville,Arizona,2023,10,Pedestrian,5694.0
2404.0,Tornillo,Texas,2023,10,Pedestrian,3320.0
2504.0,San Ysidro,California,2023,11,Personal Vehicle,2155086.0
2305.0,Hidalgo,Texas,2023,4,Truck,57309.0
2301.0,Brownsville,Texas,2023,10,Pedestrian,234117.0
2402.0,El Paso,Texas,2023,8,Truck,11190.0
2504.0,San Ysidro,California,2023,9,Bus,36181.0
2305.0,Hidalgo,Texas,2023,3,Bus,21692.0
2301.0,Brownsville,Texas,2023,1,Bus,32895.0
2408.0,Santa Teresa,New Mexico,2023,12,Truck,11751.0
2603.0,Naco,Arizona,2023,11,Pedestrian,8626.0
2307.0,Rio Grande City,Texas,2023,7,Personal Vehicle,70892.0
2305.0,Hidalgo,Texas,2023,10,Pedestrian,190144.0
2404.0,Tornillo,Texas,2023,9,Truck,2785.0
2602.0,Lukeville,Arizona,2023,8,Truck,80.0
2309.0,Progreso,Texas,2023,10,Personal Vehicle,247503.0
2507.0,Calexico East,California,2023,1,Train,22.0
2406.0,Columbus,New Mexico,2023,2,Truck,501.0
2304.0,Laredo,Texas,2023,3,Bus,71299.0
2305.0,Hidalgo,Texas,2023,11,Pedestrian,345645.0
2601.0,Douglas,Arizona,2023,4,Bus,313.0
2401.0,Ysleta,Texas,2023,9,Pedestrian,139444.0
2507.0,Calexico East,California,2023,2,Pedestrian,39683.0
2305.0,Hidalgo,Texas,2023,4,Pedestrian,190863.0
2408.0,Santa Teresa,New Mexico,2023,10,Truck,26046.0
2404.0,Tornillo,Texas,2023,1,Pedestrian,3136.0
2310.0,Roma,Texas,2023,5,Personal Vehicle,121360.0
2310.0,Roma,Texas,2023,2,Pedestrian,15241.0
2310.0,Roma,Texas,2023,9,Truck,3662.0
2401.0,Ysleta,Texas,2023,4,Truck,49856.0
2507.0,Calexico East,California,2023,6,Bus,435.0
2507.0,Calexico East,California,2023,11,Bus,243.0
2305.0,Hidalgo,Texas,2023,12,Pedestrian,191102.0
2505.0,Tecate,California,2023,10,Personal Vehicle,161551.0
2506.0,Otay Mesa,California,2023,6,Personal Vehicle,791198.0
2608.0,San Luis,Arizona,2023,5,Pedestrian,184595.0
2302.0,Del Rio,Texas,2023,12,Personal Vehicle,229038.0
2601.0,Douglas,Arizona,2023,12,Personal Vehicle,224897.0
2402.0,El Paso,Texas,2023,8,Pedestrian,364113.0
2503.0,Calexico,California,2023,12,Pedestrian,267882.0
2303.0,Eagle Pass,Texas,2023,1,Bus,18140.0
2505.0,Tecate,California,2023,11,Personal Vehicle,158277.0
2503.0,Calexico,California,2023,10,Personal Vehicle,720247.0
2406.0,Columbus,New Mexico,2023,10,Pedestrian,20563.0
2507.0,Calexico East,California,2023,6,Personal Vehicle,416685.0
2408.0,Santa Teresa,New Mexico,2023,8,Bus,643.0
2505.0,Tecate,California,2023,2,Pedestrian,59669.0
2601.0,Douglas,Arizona,2023,10,Bus,374.0
2601.0,Douglas,Arizona,2023,9,Truck,2346.0
2309.0,Progreso,Texas,2023,12,Pedestrian,117481.0
2602.0,Lukeville,Arizona,2023,9,Truck,93.0
2302.0,Del Rio,Texas,2023,7,Personal Vehicle,265589.0
2604.0,Nogales,Arizona,2023,11,Truck,30524.0
2408.0,Santa Teresa,New Mexico,2023,4,Personal Vehicle,125432.0
2502.0,Andrade,California,2023,2,Personal Vehicle,78634.0
2604.0,Nogales,Arizona,2023,8,Pedestrian,246621.0
2506.0,Otay Mesa,California,2023,9,Truck,87958.0
2604.0,Nogales,Arizona,2023,3,Bus,16896.0
2408.0,Santa Teresa,New Mexico,2023,3,Truck,15258.0
2404.0,Tornillo,Texas,2023,8,Personal Vehicle,78077.0
2309.0,Progreso,Texas,2023,7,Personal Vehicle,277680.0
2404.0,Tornillo,Texas,2023,11,Truck,453.0
2604.0,Nogales,Arizona,2023,6,Pedestrian,224178.0
2603.0,Naco,Arizona,2023,10,Truck,250.0
2505.0,Tecate,California,2023,10,Truck,6271.0
2603.0,Naco,Arizona,2023,3,Personal Vehicle,49132.0
2305.0,Hidalgo,Texas,2023,2,Bus,13997.0
2305.0,Hidalgo,Texas,2023,10,Personal Vehicle,809967.0
2408.0,Santa Teresa,New Mexico,2023,2,Personal Vehicle,87184.0
2304.0,Laredo,Texas,2023,7,Bus,97877.0
2310.0,Roma,Texas,2023,7,Pedestrian,13620.0
2406.0,Columbus,New Mexico,2023,1,Truck,542.0
2304.0,Laredo,Texas,2023,8,Truck,260288.0
2582.0,Cross Border Xpress,California,2023,7,Pedestrian,254418.0
2303.0,Eagle Pass,Texas,2023,11,Personal Vehicle,496732.0
2506.0,Otay Mesa,California,2023,4,Pedestrian,214144.0
2408.0,Santa Teresa,New Mexico,2023,8,Truck,13558.0
2302.0,Del Rio,Texas,2023,10,Pedestrian,21198.0
2602.0,Lukeville,Arizona,2023,9,Pedestrian,5630.0
2302.0,Del Rio,Texas,2023,8,Personal Vehicle,253736.0
2303.0,Eagle Pass,Texas,2023,3,Pedestrian,79039.0
2506.0,Otay Mesa,California,2023,10,Truck,92196.0
2507.0,Calexico East,California,2023,10,Truck,38867.0
2301.0,Brownsville,Texas,2023,11,Personal Vehicle,722114.0
2301.0,Brownsville,Texas,2023,6,Truck,28115.0
2602.0,Lukeville,Arizona,2023,6,Bus,260.0
2604.0,Nogales,Arizona,2023,4,Truck,35085.0
2506.0,Otay Mesa,California,2023,11,Personal Vehicle,778319.0
2608.0,San Luis,Arizona,2023,9,Pedestrian,178844.0
2305.0,Hidalgo,Texas,2023,1,Truck,60882.0
2603.0,Naco,Arizona,2023,4,Truck,227.0
2502.0,Andrade,California,2023,3,Personal Vehicle,90354.0
2310.0,Roma,Texas,2023,5,Truck,4028.0
2602.0,Lukeville,Arizona,2023,3,Truck,62.0
2504.0,San Ysidro,California,2023,7,Pedestrian,632785.0
2507.0,Calexico East,California,2023,11,Personal Vehicle,423565.0
2304.0,Laredo,Texas,2023,2,Personal Vehicle,672427.0
2408.0,Santa Teresa,New Mexico,2023,9,Personal Vehicle,129753.0
2604.0,Nogales,Arizona,2023,7,Personal Vehicle,654304.0
2303.0,Eagle Pass,Texas,2023,2,Pedestrian,39057.0
2507.0,Calexico East,California,2023,12,Bus,595.0
2505.0,Tecate,California,2023,2,Personal Vehicle,139228.0
2603.0,Naco,Arizona,2023,5,Truck,284.0
2504.0,San Ysidro,California,2023,7,Bus,41571.0
